ACT_Actions,PK_ACT_Actions,NULL,ACT_cKey
TourneyVarianceInstance,PK_TourneyVarianceInstance,FK_TourneyVarianceInstance_TourneyVariance,TourneyVarianceInstanceId
TourneyVarianceInstance,PK_TourneyVarianceInstance,FK_TourneyVarianceInstance_TourneyVarianceResponsible,TourneyVarianceInstanceId
TourneyVarianceResponsible,PK_TourneyVarianceResponsible,NULL,TourneyVarianceResponsibleId
TourneyWorkDay,PK_TourneyWorkDay_1,FK_TourneyWorkDay_Kit,TourneyWorkDayId
TourneyWorkDay,PK_TourneyWorkDay_1,FK_TourneyWorkDay_TourneyTemplate,TourneyWorkDayId
TourneyWorkDayPause,PK_TourneyWorkDayPause_1,FK_TourneyWorkDayPause_TourneyWorkDay,TourneyWorkDayPauseId
TSI_TimeShifts,PK_TSI_TimeShift,FK_TSI_TimeShifts_CLI_Clients,TSI_cID
TSI_TimeShifts,PK_TSI_TimeShift,FK_TSI_TimeShifts_PLI_ProductionLines,TSI_cID
TSK_Task,PK_TSK_Task,FK_TSK_Task_CLI_Clients,TSK_cID
UFR_UserFormRequests,PK_UFR_UserFormRequest,FK_UFR_UserFormRequest_USE_Users,UFR_cID
ULI_UserLoginInfos,PK_ULI_UserLoginInfos,FK_ULI_UserLoginInfos_USE_Users,ULI_iNoSeq
ULM_UserLineMeasures,PK_ULM_UserLineMeasures,FK_ULM_UserLineMeasures_MDE_MeasureDefinitions1,ULM_cID
ULM_UserLineMeasures,PK_ULM_UserLineMeasures,FK_ULM_UserLineMeasures_PLI_ProductionLines1,ULM_cID
ULM_UserLineMeasures,PK_ULM_UserLineMeasures,FK_ULM_UserLineMeasures_USE_Users1,ULM_cID
URI_UserRights,PK_URI_UserRights,FK_URI_UserRights_ACT_Actions,URI_cID
URI_UserRights,PK_URI_UserRights,FK_URI_UserRights_GRO_Groups,URI_cID
URI_UserRights,PK_URI_UserRights,FK_URI_UserRights_MDE_MeasureDefinitions,URI_cID
URI_UserRights,PK_URI_UserRights,FK_URI_UserRights_PLI_ProductionLines,URI_cID
URI_UserRights,PK_URI_UserRights,FK_URI_UserRights_USE_Users,URI_cID
URI_UserRights,PK_URI_UserRights,FK_URI_UserRights_CLI_Clients,URI_cID
USE_Users,PK_USE_Users,FK_USE_Users_CLI_Clients,USE_cID
USE_Users,PK_USE_Users,FK_USE_Users_GRO_Groups,USE_cID
USP_UserPrefs,PK_USE_UserPrefs,FK_USP_UserPrefs_USE_Users,USP_cID
